org_name,count,in_crosswalk,match_type,canonical_name
International Longshore and Warehouse Union,663,yes,exact,INTERNATIONAL LONGSHORE AND WAREHOUSE UNION
American Chemistry Council,659,yes,exact,AMERICAN CHEMISTRY COUNCIL
The Greenlining Institute,657,yes,exact,GREENLINING INSTITUTE
Consulting Engineers and Land Surveyors of California,656,yes,exact,Consulting Engineers and Land Surveyors of California (CELSOC)
Child Care Law Center,652,yes,exact,Childcare Law Center
California Coastal Protection Network,650,yes,exact,CA Coastal Protection Network
California Organization of Police and Sheriffs,649,yes,exact,ORGANIZATION OF POLICE AND SHERIFFS
"American Federation of State, County and Municipal Employees (AFSCME)",645,yes,exact,"American Federation of State, County and Municipal Employees (AFSCME)"
County of Orange,644,yes,exact,STATE OF CALIFORNIA
California Council of Community Behavioral Health Agencies,643,yes,exact,CALIFORNIA COUNCIL OF COMMUNITY BEHAVIORAL HEALTH AGENCIES
Capitol Resource Institute,643,yes,exact,CAPITOL RESOURCE INSTITUTE
State Department of Finance,641,yes,exact,CALIFORNIA DEPARTMENT OF FINANCE
California Black Health Network,640,yes,exact,CALIFORNIA BLACK HEALTH NETWORK
Blue Cross of California,638,yes,exact,BLUE CROSS OF CALIFORNIA
Blue Shield of California,638,yes,exact,Blue Shield of California
Trust for Public Land,638,yes,exact,TRUST FOR PUBLIC LAND
Bay Area Air Quality Management District,636,yes,exact,BAY AREA AIR QUALITY MANAGEMENT DISTRICT
Community Water Center,636,yes,exact,COMMUNITY WATER CENTER
City of Torrance,635,yes,exact,STATE OF CALIFORNIA
Consumers for Auto Reliability and Safety,635,yes,exact,CONSUMERS FOR AUTO RELIABILITY AND SAFETY
Nisei Farmers League,634,yes,exact,NISEI FARMERS LEAGUE
Western Manufactured Housing Communities Association,634,yes,exact,Western Manufactured Housing Communities Association
California Charter Schools Association,632,yes,exact,CALIFORNIA CHARTER SCHOOLS ASSOCIATION
Contractors State License Board,631,yes,exact,CONTRACTORS' STATE LICENSING BOARD
Asian Pacific Environmental Network,630,yes,exact,ASIAN PACIFIC ENVIRONMENTAL NETWORK
The Children's Partnership,625,yes,exact,The Children's Partnership
"California School Employees Association, AFL-CIO",624,yes,exact,CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION
"American Federation of State, County and Municipal",623,yes,exact,"American Federation of State, County and Municipal Employees (AFSCME)"
Breathe California,623,yes,exact,BREATHE CALIFORNIA
Fair Political Practices Commission,623,yes,exact,FAIR POLITICAL PRACTICES COMMISSION
Eastern Municipal Water District,621,yes,exact,"Eastern Municipal Water District, Perris"
Los Angeles Community College District,621,yes,exact,Los Angeles Community College District
California Healthcare Institute,620,yes,exact,CALIFORNIA HEALTHCARE INSTITUTE
Housing Action Coalition,616,yes,exact,Housing and Action Coalition
California Association of Code Enforcement Officers,615,yes,exact,CALIFORNIA ASSOCIATION OF CODE ENFORCEMENT OFFICERS
California Independent Petroleum Association,614,yes,exact,CALIFORNIA INDEPENDENT PETROLEUM ASSOCIATION
Corporation for Supportive Housing,614,yes,exact,CORPORATION FOR SUPPORTIVE HOUSING
1 individual,613,no,,
California Association of Environmental Health Administrators,611,yes,exact,Association of Environmental Health Administrators
California Coalition for Rural Housing,611,yes,exact,CALIFORNIA COALITION FOR RURAL HOUSING
American College of Obstetricians and Gynecologists,610,yes,exact,American College of Obstetricians and Gynecologists
California Mortgage Bankers Association,610,yes,exact,CALIFORNIA MORTGAGE BANKERS ASSOCIATION
City of Moreno Valley,609,yes,exact,STATE OF CALIFORNIA
Organization of SMUD Employees,609,yes,exact,ORGANIZATION OF SMUD EMPLOYEES
Chemical Industry Council of California,607,yes,exact,CHEMICAL INDUSTRY COUNCIL OF CALIFORNIA
Alzheimer's Association,605,yes,exact,Alzheimer's Association
California Environmental Justice Alliance,605,yes,exact,CALIFORNIA ENVIRONMENTAL JUSTICE ALLIANCE
County of Santa Barbara,605,yes,exact,STATE OF CALIFORNIA
Western Agricultural Processors Association,604,yes,exact,WESTERN AGRICULTURAL PROCESSORS ASSOCIATION
Social Compassion in Legislation,603,yes,exact,SOCIAL COMPASSION IN LEGISLATION
Californians United for a Responsible Budget,599,yes,exact,CALIFORNIANS UNITED FOR A RESPONSIBLE BUDGET
Midpeninsula Regional Open Space District,595,yes,exact,Midpeninsula Regional Open Space
Public Law Center,595,yes,exact,Public Law Center - Operation Veterans Re-entry Unit
California Independent Oil Marketers Association,594,yes,exact,California Independent Oil Marketers Association
Outdoor Sportsmen's Coalition of California,592,yes,exact,Outdoor Sportsmen's Coalition of California
Safari Club International,592,yes,exact,SAFARI CLUB INTERNATIONAL
Anti-Defamation League,590,yes,exact,Anti-Defamation
City of Stockton,588,yes,exact,STATE OF CALIFORNIA
Coalition for Adequate School Housing,586,yes,exact,COALITION FOR ADEQUATE SCHOOL HOUSING
Abundant Housing LA,584,yes,exact,ABUNDANT HOUSING LA
American Association of Retired Persons,584,yes,exact,American Association of Retired Persons
Californians Together,581,yes,exact,CALIFORNIANS TOGETHER
San Luis Obispo County Employees Association,580,yes,exact,San Luis Obispo County Employees Association
Worksafe,578,yes,exact,"Worksafe: Safety, Health, and Justice for Workers"
Superintendent of Public Instruction,576,yes,exact,SUPERINTENDENT OF PUBLIC INSTRUCTION
Local Health Plans of California,574,yes,exact,LOCAL HEALTH PLANS OF CALIFORNIA
California Ambulance Association,573,yes,exact,CALIFORNIA AMBULANCE ASSOCIATION
None submitted,570,no,,
Southern California Contractors Association,570,yes,exact,Southern CA Contractors Association
Department of Health Services,569,yes,exact,DEPARTMENT OF HEALTH SERVICES
California Waterfowl Association,568,yes,exact,CALIFORNIA WATERFOWL ASSOCIATION
California-Nevada Conference of Operating Engineers,568,yes,exact,CALIFORNIA-NEVADA CONFERENCE OF OPERATING ENGINEERS
Western Plant Health Association,567,yes,exact,Western Plant Health Association
Santa Clara County Office of Education,566,yes,exact,Santa Clara County Office of Education
Flasher/Barricade Association,564,yes,normalized,FLASHER BARRICADE ASSOCIATION
San Bernardino Public Employees Association,563,yes,exact,San Bernardino Public Employees
California Fresh Fruit Association,559,yes,exact,CALIFORNIA FRESH FRUIT ASSOCIATION
California Coalition for Women Prisoners,557,yes,exact,CALIFORNIA COALITION FOR WOMEN PRISONERS
Communities United for Restorative Youth Justice,557,yes,exact,COMMUNITIES UNITED FOR RESTORATIVE YOUTH JUSTICE
County of Riverside,556,yes,exact,STATE OF CALIFORNIA
Jericho,556,yes,exact,JERICHO
Active San Gabriel Valley,555,yes,exact,Active San Gabriel Valley
California Employment Law Council,555,yes,exact,California Employment Law Council Assn
Justice in Aging,555,yes,exact,JUSTICE IN AGING
California Hotel & Lodging Association,553,yes,exact,American Hotel and Lodging Association
Pacific Merchant Shipping Association,552,yes,exact,PACIFIC MERCHANT SHIPPING ASSOCIATION
AARP California,551,yes,exact,AARP (American Association of Retired Persons)
Department of Consumer Affairs,551,yes,exact,DEPARTMENT OF CONSUMER AFFAIRS
Environmental Defense Center,550,yes,exact,Environment Defense Center
Juvenile Court Judges of California,550,yes,exact,JUVENILE COURT JUDGES OF CALIFORNIA
California Alliance Against Domestic Violence,549,yes,exact,CALIFORNIA ALLIANCE AGAINST DOMESTIC VIOLENCE
National Rifle Association,549,yes,exact,NATIONAL RIFLE ASSOCIATION
County of Los Angeles Board of Supervisors,547,yes,exact,STATE OF CALIFORNIA
California Church Impact,544,yes,exact,CALIFORNIA CHURCH IMPACT
California College and University Police Chiefs Association,540,yes,exact,California College and University Police Chiefs Association
Non-Profit Housing Association of Northern California,540,yes,exact,NON-PROFIT HOUSING ASSOCIATION OF NORTHERN CALIFORNIA
Breast Cancer Fund,539,yes,exact,BREAST CANCER FUND
Inc,539,no,,
LeadingAge California,538,yes,exact,LEADING AGE
350 Bay Area Action,537,yes,exact,350.org
Crime Victims United,537,yes,normalized,Crime Victim's United
Coalition for Humane Immigrant Rights,536,yes,exact,Coalition for Humane Immigrant Rights of Los Angeles
PICO California,536,yes,exact,PICO CALIFORNIA
California Asian Pacific Chamber of Commerce,535,yes,exact,UNITED STATES CHAMBER OF COMMERCE
California Council of the Blind,535,yes,exact,California Council of The Blind
City of Roseville,535,yes,exact,STATE OF CALIFORNIA
Long Beach Area Chamber of Commerce,535,yes,exact,UNITED STATES CHAMBER OF COMMERCE
Coalition for Humane Immigrant Rights of Los Angeles,532,yes,exact,Coalition for Humane Immigrant Rights of Los Angeles
Simi Valley Chamber of Commerce,531,yes,exact,UNITED STATES CHAMBER OF COMMERCE
Service Employees International Union (SEIU),528,yes,exact,Service Employees International Union
California Association of County Treasurers and Tax Collectors,527,yes,exact,CALIFORNIA ASSOCIATION OF COUNTY TREASURERS AND TAX COLLECTORS
California Beer and Beverage Distributors,527,yes,exact,CALIFORNIA BEER AND BEVERAGE DISTRIBUTORS
AIDS Project Los Angeles,526,yes,exact,AIDS PROJECT LOS ANGELES
Western Growers,526,yes,exact,WESTERN GROWERS
Board of Behavioral Sciences,525,yes,exact,BOARD OF BEHAVIORAL SCIENCES
California Federation for Animal Legislation,524,yes,exact,Animal Federation for Animal Legislation
Irvine Ranch Water District,524,yes,exact,IRVINE RANCH WATER DISTRICT
Association of California Life & Health Insurance Companies,523,yes,exact,ASSOCIATION OF CALIFORNIA LIFE & HEALTH INSURANCE COMPANIES
California State Firefighters' Association,522,yes,exact,California State Firefighters' Association
City of Santa Barbara,520,yes,exact,STATE OF CALIFORNIA
Small Business California,520,yes,exact,SMALL BUSINESS CALIFORNIA
City of Norwalk,518,yes,exact,STATE OF CALIFORNIA
Newport Beach Police Association,518,yes,exact,Police Officers Association
The Climate Center,518,yes,exact,CLIMATE CENTER
California Youth Connection,517,yes,exact,CALIFORNIA YOUTH CONNECTION
California Narcotic Officers Association,515,yes,normalized,CALIFORNIA NARCOTIC OFFICERS' ASSOCIATION
National Employment Law Project,515,yes,exact,NATIONAL EMPLOYMENT LAW PROJECT
Sempra Energy,515,yes,exact,SEMPRA Energy
California Association of Nonprofits,514,yes,exact,CALIFORNIA ASSOCIATION OF NONPROFITS
California Family Council,514,yes,exact,CALIFORNIA FAMILY COUNCIL
American Lung Association of California,513,yes,exact,AMERICAN LUNG ASSOCIATION
California State Parks Foundation,511,yes,exact,CALIFORNIA STATE PARKS FOUNDATION
Riverside Police Officers Association,511,yes,normalized,Police Officers Association
Los Angeles County Metropolitan Transportation Authority,510,yes,exact,Los Angeles County Metropolitan Transportation Authority
California Academy of Physician Assistants,508,yes,exact,Academy of Physician Assistants
Cal-Tax,507,yes,normalized,California Taxpayers Association
California Correctional Supervisors Organization,507,yes,normalized,CALIFORNIA CORRECTIONAL SUPERVISOR'S ORGANIZATION
San Francisco Chamber of Commerce,507,yes,exact,UNITED STATES CHAMBER OF COMMERCE
Association of Orange County Deputy Sheriffs,506,yes,exact,DEPUTY SHERIFFS' ASSOCIATION
California League of Food Producers,506,yes,exact,CALIFORNIA LEAGUE OF FOOD PROCESSORS
Palos Verdes Police Officers Association,506,yes,exact,Police Officers Association
State Bar of California,506,yes,exact,Bar Association
City of Alameda,505,yes,exact,STATE OF CALIFORNIA
City of Rancho Cucamonga,505,yes,exact,STATE OF CALIFORNIA
NextGen California,505,yes,exact,NextGen America
PolicyLink,505,yes,exact,PolicyLink
Riverside Sheriff's Association,505,yes,exact,Riverside Sheriffs Organization
El Dorado Irrigation District,504,yes,exact,El Dorado Irrigation District
Streets for All,504,yes,exact,Streets for all
Humane Society of the United States,502,yes,exact,Humane Society of the United States
California Motor Car Dealers Association,501,yes,exact,CALIFORNIA MOTOR CAR DEALERS ASSOCIATION
California Reinvestment Coalition,500,yes,exact,CALIFORNIA REINVESTMENT COALITION
Culver City Police Officers' Association,500,yes,normalized,Police Officers Association
Fullerton Police Officers' Association,500,yes,normalized,Police Officers Association
"California Child, Youth and Family Coalition",499,yes,exact,"CALIFORNIA CHILD, YOUTH AND FAMILY COALITION"
California Contract Cities Association,499,yes,exact,CALIFORNIA CONTRACT CITIES ASSOCIATION
NARAL Pro-Choice California,499,yes,exact,National Abortion Rights Action League
American Cancer Society Cancer Action Network,498,yes,normalized,American Cancer Society Cancer Action Network (ACS CAN)
Burbank Police Officers' Association,498,yes,exact,Police Officers Association
Rubicon Programs,498,yes,exact,RUBICON PROGRAMS
National Association of Social Workers - California Chapter,495,yes,exact,CALIFORNIA CHAPTER OF THE NATIONAL ASSOCIATION OF SOCIAL
Alcohol Justice,494,yes,exact,Alcohol Justice
California Chronic Care Coalition,494,yes,exact,CALIFORNIA CHRONIC CARE COALITION
California Travel Association,494,yes,exact,CALIFORNIA TRAVEL ASSOCIATION
