Oakland African American Chamber Political Action Committee	Oakland African American Chamber of Commerce	Oakland AA Chamber
ACLU California Action strongly	ACLU California Action	ACLU
ACLU California Action writes the following to explain why it	ACLU California Action	ACLU
ACLU California Action, in support	ACLU California Action	ACLU
ACLU California Center for Advocacy and Policy	ACLU of California, Center for Advocacy and Policy	ACLU
ACLU Center for Advocacy & Policy - California	ACLU of California, Center for Advocacy and Policy	ACLU
ACLU Center for Advocacy and Policy, California	ACLU of California, Center for Advocacy and Policy	ACLU
ACLU consistently	American Civil Liberties Union	ACLU
ACLU in conclusion	American Civil Liberties Union	ACLU
ACLU Members for LPS Reform - Los Angeles	ACLU Members for LPS Reform	ACLU
ACLU Members for LPS Reform and several individuals	ACLU Members for LPS Reform	ACLU
ACLU of /Northern California/Southern California/San Diego & Imperial Counties	American Civil Liberties Union	ACLU
ACLU of California also	American Civil Liberties Union	ACLU
ACLU of California Center for Advocacy & Policy	ACLU of California, Center for Advocacy and Policy	ACLU
ACLU of California is pleased	American Civil Liberties Union	ACLU
ACLU Previous letters of support pertained to a version of the bill not before the Committee	American Civil Liberties Union	ACLU
ACLU Southern California	American Civil Liberties Union	ACLU
ACLU, Northern California/Southern California/San Diego and Imperial Counties	American Civil Liberties Union	ACLU
ACLU, Paul Robeson Chapter	American Civil Liberties Union	ACLU
ACLU, writing in opposition	American Civil Liberties Union	ACLU
ACLU-California Action	ACLU California Action	ACLU
ACLU-California legislative Office	ACLU, California Legislative Office	ACLU
ACLU-California, Center for Advocacy and Policy	ACLU of California, Center for Advocacy and Policy	ACLU
ACOG condemns the practice of FGM and	American College of Obstetricians & Gynecologists (California)	ACOG
ACOG states	American College of Obstetricians & Gynecologists (California)	ACOG
Action Network - Sacramento	National Action Network Sacramento	National Action Network
Activecare at Rolling Hills Ranch	ActiveCare Living, Inc	eldercare
ADEM District 41	CALIFORNIA DEMOCRATIC PARTY	consolidate
adidas Corporation	Adidas America	consolidate
Adjunct Faculty United, AFT/CFT, Local 6106	AMERICAN FEDERATION OF TEACHERS	consolidate
ADL - Anti-Defamation League	Anti-Defamation League (ADL)	consolidate
Administration and Organization Committee of the Alameda County Waste Management Authority	ALAMEDA COUNTY WASTE MANAGEMENT AUTHORITY	consolidate
Adubon Society of California	Audubon Society of California	Audubon
Aetna (sponsors)	AETNA	consolidate
Aetna U.S. Healthcare (prior version)	AETNA	consolidate
AF Evans Company, Oakland	A.F. Evans Company	consolidate
Affiliated Property Craftspersons, IATSE Local 44	Affiliated Property Craftspersons, IATSE	consolidate
Affordable Housing Committee - Los Gatos Unitarian Fellowship	Los Gatos Unitarian Fellowship	consolidate
Affordable Housing Management Association, Northern CA Hawaii	AFFORDABLE HOUSING MANAGEMENT ASSOCIATION - NORTHERN CALIFORNIA AND HAWAII	consolidate
Affordable Housing Management Association- Pacific Southwest	AFFORDABLE HOUSING MANAGEMENT ASSOCIATION, PACIFIC SOUTHWEST	consolidate
AFGE Local 1881	American Federation of Government Employees	consolidate
AFGE Local 2003	American Federation of Government Employees	consolidate
AFGE, Local 2003	American Federation of Government Employees	consolidate
AFL-CIO-CLC, Local 535	SEIU Local 535	SEIU
African-American Farmers of California (prior version)	African American Farmers	African American Farmers
AFSMC District Council 36	American Federation of State, County and Municipal Employees (AFSCME)	AFSCME
AGC California, San Diego Chapter	Associated General Contractors of California (AGC)	agc
AGC of Calif	Associated General Contractors of California (AGC)	agc
Agricultural Commissioners and Sealers	CALIFORNIA AGRICULTURAL COMMISSIONERS AND SEALERS ASSOCIATION	Agricultural Commissioners and Sealers
Agudath Israel of California (prior version)	Agudath Israel of America	Agudath Israel
AIDS Service Center (committee analysis)	AIDS Service Center	aids
Alameda County CASA (Court Appointed Special Advocates)	ALAMEDA COUNTY COURT APPOINTED SPECIAL ADVOCATES	Alameda County CASA
Alameda County Court Appointed Special Advocate Program	ALAMEDA COUNTY COURT APPOINTED SPECIAL ADVOCATES	Alameda County CASA
Alameda County District Attorney O'Malley	Alameda County District Attorney	Alameda County District Attorney
Alameda County Firefighters Local 55	Alameda County Firefighters IAFF Local 55	Alameda County Firefighters Local 55
Alameda County Head Start employees	Alameda County Head Start	Alameda County Head Start
Alameda County Office of the District Attorney, Nancy O'Malley	Alameda County District Attorney	Alameda County District Attorney
Alcohol Justice, in opposition	Alcohol Justice	consolidate
Alex Perez, Inglewood Chief of Police	City of Inglewood Police Department	consolidate
ALF-CIO	AFL-CIO	consolidate
Alfred's Steakhouse (San Francisco)	Alfred's Steakhouse	consolidate
ALHAMBRA CITY ELEMENTARY 11,592	Alhambra Unified School District	consolidate
ALHAMBRA CITY HIGH 8,326	Alhambra City High School District	consolidate
Alhambra, City of	ALHAMBRA	consolidate
Alianza de Minsterios Evang?licos Nacionales (2/18/99 version)	Alianza de Minsterios Evang?licos Nacionales	consolidate
ALISAL UNION ELEMENTARY 6,466	Alisal Union School District	consolidate
Alison Hicks - Mayor of Mountain View	CITY OF MOUNTAIN VIEW	consolidate
All American Pipeline Co	All American Pipeline	consolidate
All City Employees Association	American Federation of State, County and Municipal Employees (AFSCME)	consolidate
All City Employees Association, Local 3090	American Federation of State, County and Municipal Employees (AFSCME)	consolidate
All City Employees Association, Local 3090 AFSCME	American Federation of State, County and Municipal Employees (AFSCME)	consolidate
All City Employees Association, Local 3090, AFSCME	American Federation of State, County and Municipal Employees (AFSCME)	consolidate
All City Employees Association/AFSCME, Local 3090	American Federation of State, County and Municipal Employees (AFSCME)	consolidate
All of Us or None (NOTE: THIS ANALYSIS REFLECTS AMENDMENTS THE AUTHOR INTENDS TO SUBMIT TO THE COMMITTEE.)	All Of Us Or None (AOUON)	aouon
Alliance For Community Transit - Los Angeles	ACT-LA	Community Transit
Alliance for the Mentally Ill, Contra Costa County	Alliance for the Mentally Ill	Mentally Ill
Alliance for the Mentally Ill, Inland Valley, Rancho	Alliance for the Mentally Ill	Mentally Ill
Alliance for the Mentally Ill, Pomona Valley	Alliance for the Mentally Ill	Mentally Ill
Alliance of American Insurers (6/11/02)	Alliance of American Insurers (AIA)	American Insurers
Alliance of American Insurers (based upon prior version)	Alliance of American Insurers (AIA)	American Insurers
Alliance of American Insurers (prior version	Alliance of American Insurers (AIA)	American Insurers
Alliance of American Insurers (prior version)	Alliance of American Insurers (AIA)	American Insurers
Alliance of American Insurers - 05/14/03	Alliance of American Insurers (AIA)	American Insurers
Alliance of American Insurers - Sponsor	Alliance of American Insurers (AIA)	American Insurers
Alliance of American Insurers 6/24/98	Alliance of American Insurers (AIA)	American Insurers
Alliance of American Insurers also	Alliance of American Insurers (AIA)	American Insurers
Alliance of California Tribes, California	Alliance of California Tribes (Auburn Rancheria, Big Sandy)	California Tribes
Alliance State Farm Insurance Companies	Alliance State Farm Insurance	consolidate
Alliance Supporting People with Intellectual and Developmental Disabilities, in opposition	ALLIANCE SUPPORTING PEOPLE WITH INTELLECTUAL AND DEVELOPMENTAL DISABILITIES	consolidate
Alliance Supporting People with Intellectual and Developmental: Disabilities	ALLIANCE SUPPORTING PEOPLE WITH INTELLECTUAL AND DEVELOPMENTAL DISABILITIES	consolidate
Allied Driving School - San Jose, Redwood City	Allied Driving School, San Jose, Redwood City	consolidate
Allied Waste Services, 4 personal letters	Allied Waste	consolidate
Alpha Kappa Alpha writes	Alpha Kappa Alpha Sorority, Inc. - Pasadena Chapter	Alpha Kappa Alpha
Alameda County, District Attorney Nancy O'Malley	District Attorneys	Alameda
Alameda County, Office of the District Attorney	District Attorneys	Alameda
Alameda District Attorney	District Attorneys	Alameda
Alameda District Attorney O'Malley	District Attorneys	Alameda
Alameda Fire Fighters, Local 689	International Association of Fire Fighters	Alameda
Alameda Firefighters Association	International Association of Fire Fighters	Alameda
Alameda Firefighters Association, Local 689	International Association of Fire Fighters	Alameda
Alameda Firefighters, IAFF Local 689	International Association of Fire Fighters	Alameda
ALAMEDA FREMONT UNIFIED 30,237	Fremont Unified School District	Alameda
ALAMEDA HAYWARD UNIFIED 21,693	Hayward Unified School District	Alameda
Alameda Municipal Power, City of	Alameda Municipal Power	Alameda
ALAMEDA NEW HAVEN UNIFIED 13,787	New Haven Unified School District	Alameda
Alameda Police Department, Chief Michael Noonan	POLICE DEPARTMENT	Alameda
Alameda-Contra Costs Medical Association (7/23/2013)	Alameda-Contra Costs Medical Association	Alameda
Alzheimer's Association (committee analysis)	Alzheimer's Association	alzheimer
American (Corbett) Union (ACLU)	American Civil Liberties Union	aclu
American -Escutia California Association of Enterprise Zones	California Association of Enterprise Zones	enterprise_zones
American Academy of Pediatrics (AAP) state	AMERICAN ACADEMY OF PEDIATRICS	AAP
American Academy of Pediatrics (California Chapter)	American Academy of Pediatrics, California Chapter	AAP
American Academy of Pediatrics (California Division)	American Academy of Pediatrics, California Division	AAP
American Academy of Pediatrics (previous version)	AMERICAN ACADEMY OF PEDIATRICS	AAP
American Academy of Pediatrics - Califonria District (prior version)	AMERICAN ACADEMY OF PEDIATRICS	AAP
American Academy of Pediatrics -- California	American Academy of Pediatrics of California	AAP
American Academy of Pediatrics -- California District	American Academy of Pediatrics, CA District (AAP-CA)	AAP
American Academy of Pediatrics -- California District: IX	American Academy of Pediatrics California District IX	AAP
American Academy of Pediatrics, CA Dist	American Academy of Pediatrics, CA District (AAP-CA)	AAP
American Academy of Pediatrics, CA- Chapter 3	American Academy of Pediatrics, California Chapter	AAP
American Academy of pediatrics, California	American Academy of Pediatrics of California	AAP
American Academy of Pediatrics, California (7/30/2013)	American Academy of Pediatrics of California	AAP
American Academy Of Pediatrics, California (prior version)	American Academy of Pediatrics of California	AAP
American Academy of Pediatrics, California District (AAP-CA)	American Academy of Pediatrics of California	AAP
American Academy of Pediatrics, |California Division	American Academy of Pediatrics, California Division	AAP
American Academy of Pediatrics- California	American Academy of Pediatrics of California	AAP
American Academy of Pediatrics--California District	American Academy of Pediatrics, CA District (AAP-CA)	AAP
American Academy Of Pediatrics-California	American Academy of Pediatrics of California	AAP
American Agents Alliance. SB 1646 (Russell) Page n	American Agents Alliance	AAA
American Association of University Women California - San Jose Branch	American Association of University Women of San Jose	AAUW
