originalname,editedname,relationship_type
AND SIMI VALLEY),CITY OF SIMI VALLEY,alternate_spelling
ANDERSON AND ASSOCIATES,ANDERSON AND ASSOCIATES,canonical
ANDRES DUARTE TERRACE,ANDRES DUARTE TERRACE,canonical
ANEWAMERICA COMMUNITY CORPORATION,ANEWAMERICA COMMUNITY CORPORATION,canonical
ANGELES MESA HOMEOWNERS COMMUNITY GROUP,ANGELES MESA HOMEOWNERS COMMUNITY GROUP,canonical
"ANGELUS PLAZA, A RETIREMENT HOUSING FOUNDATION","ANGELUS PLAZA, A RETIREMENT HOUSING FOUNDATION",canonical
ANIMAL PROTECTION LEAGUE,ANIMAL PROTECTION LEAGUE,canonical
ANTELOPE VALLEY BOYS & GIRLS CLUB,ANTELOPE VALLEY BOYS & GIRLS CLUB,canonical
ANTELOPE VALLEY COMMUNITY CLINIC,ANTELOPE VALLEY COMMUNITY CLINIC,canonical
ANTELOPE VALLEY COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCY,ANTELOPE VALLEY COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCY,canonical
ANTELOPE VALLEY FAIR,ANTELOPE VALLEY FAIR,canonical
ANTI-EVICTION MAPPING PROJECT,ANTI-EVICTION MAPPING PROJECT,canonical
ANTIOCH,CITY OF ANTIOCH,alternate_spelling
ANTI-RECIDIVISM COALITION,ANTI-RECIDIVISM COALITION,canonical
ANT-RECIDIVISM COALITION,ANTI-RECIDIVISM COALITION,alternate_spelling
APARTMENT ASSOCIATION,APARTMENT ASSOCIATION,canonical
APARTMENT ASSOCIATION CALIFORNIA SOUTHERN CITIES,APARTMENT ASSOCIATION OF CALIFORNIA SOUTHERN CITIES,alternate_spelling
APARTMENT ASSOCIATION OF CALIFORNIA SOUTHERN CITIES,APARTMENT ASSOCIATION OF CALIFORNIA SOUTHERN CITIES,canonical
APARTMENT ASSOCIATION OF GREATER LOS ANGELES,APARTMENT ASSOCIATION OF GREATER LOS ANGELES,canonical
"APARTMENT ASSOCIATION OF GREATER LOS ANGELES, SANTA BARBARA, AND SAN DIEGO","APARTMENT ASSOCIATION OF GREATER LOS ANGELES, SANTA BARBARA, AND SAN DIEGO",canonical
APARTMENT ASSOCIATION OF ORANGE COUNTY,APARTMENT ASSOCIATION OF ORANGE COUNTY,canonical
APARTMENT ASSOCIATION OF ORANGE COUNTY CALIFORNIA,APARTMENT ASSOCIATION OF ORANGE COUNTY,alternate_spelling
"APARTMENT ASSOCIATION, CALIFORNIA SOUTHERN CITIES",APARTMENT ASSOCIATION OF CALIFORNIA SOUTHERN CITIES,alternate_spelling
"APARTMENT ASSOCIATION, GREATER LOS ANGELES",APARTMENT ASSOCIATION OF GREATER LOS ANGELES,alternate_spelling
